title,author,rank,date
THE HEAVEN & EARTH GROCERY STORE,by James McBride,6,2024-04-07
A FATE INKED IN BLOOD,by Danielle L. Jensen,7,2024-04-07
EXPIRATION DATES,by Rebecca Serle,8,2024-04-07
REMARKABLY BRIGHT CREATURES,by Shelby Van Pelt,9,2024-04-07
HOUSE OF FLAME AND SHADOW,by Sarah J. Maas,10,2024-04-07
FIRST LIE WINS,by Ashley Elston,11,2024-04-07
THE HUNTER,by Tana French,12,2024-04-07
THREE-INCH TEETH,by C.J. Box,13,2024-04-07
LESSONS IN CHEMISTRY,by Bonnie Garmus,14,2024-04-07
GOTHIKANA,by RuNyx,15,2024-04-07
THE WOMEN,by Kristin Hannah,1,2024-04-14
FOURTH WING,by Rebecca Yarros,2,2024-04-14
IRON FLAME,by Rebecca Yarros,3,2024-04-14
THE #1 LAWYER,by James Patterson and Nancy Allen,4,2024-04-14
JAMES,by Percival Everett,5,2024-04-14
THE TRUTH ABOUT THE DEVLINS,by Lisa Scottoline,6,2024-04-14
THE HEAVEN & EARTH GROCERY STORE,by James McBride,7,2024-04-14
A FATE INKED IN BLOOD,by Danielle L. Jensen,8,2024-04-14
REMARKABLY BRIGHT CREATURES,by Shelby Van Pelt,9,2024-04-14
HOUSE OF FLAME AND SHADOW,by Sarah J. Maas,10,2024-04-14
FIRST LIE WINS,by Ashley Elston,11,2024-04-14
THE HUNTER,by Tana French,12,2024-04-14
LESSONS IN CHEMISTRY,by Bonnie Garmus,13,2024-04-14
EXPIRATION DATES,by Rebecca Serle,14,2024-04-14
GOTHIKANA,by RuNyx,15,2024-04-14
THE WOMEN,by Kristin Hannah,1,2024-04-21
TABLE FOR TWO,by Amor Towles,2,2024-04-21
FOURTH WING,by Rebecca Yarros,3,2024-04-21
IRON FLAME,by Rebecca Yarros,4,2024-04-21
JAMES,by Percival Everett,5,2024-04-21
THE #1 LAWYER,by James Patterson and Nancy Allen,6,2024-04-21
THE HEAVEN & EARTH GROCERY STORE,by James McBride,7,2024-04-21
SHE'S NOT SORRY,by Mary Kubica,8,2024-04-21
CITY IN RUINS,by Don Winslow,9,2024-04-21
REMARKABLY BRIGHT CREATURES,by Shelby Van Pelt,10,2024-04-21
A FATE INKED IN BLOOD,by Danielle L. Jensen,11,2024-04-21
THE HUSBANDS,by Holly Gramazio,12,2024-04-21
FIRST LIE WINS,by Ashley Elston,13,2024-04-21
HOUSE OF FLAME AND SHADOW,by Sarah J. Maas,14,2024-04-21
THE TRUTH ABOUT THE DEVLINS,by Lisa Scottoline,15,2024-04-21
THE WOMEN,by Kristin Hannah,1,2024-04-28
THE FAMILIAR,by Leigh Bardugo,2,2024-04-28
FOURTH WING,by Rebecca Yarros,3,2024-04-28
TOXIC PREY,by John Sandford,4,2024-04-28
IRON FLAME,by Rebecca Yarros,5,2024-04-28
TABLE FOR TWO,by Amor Towles,6,2024-04-28
JAMES,by Percival Everett,7,2024-04-28
A FATE INKED IN BLOOD,by Danielle L. Jensen,8,2024-04-28
HOUSE OF FLAME AND SHADOW,by Sarah J. Maas,9,2024-04-28
THE #1 LAWYER,by James Patterson and Nancy Allen,10,2024-04-28
REMARKABLY BRIGHT CREATURES,by Shelby Van Pelt,11,2024-04-28
FIRST LIE WINS,by Ashley Elston,12,2024-04-28
THE HEAVEN & EARTH GROCERY STORE,by James McBride,13,2024-04-28
THE HEMLOCK QUEEN,by Hannah Whitten,14,2024-04-28
DAUGHTER OF MINE,by Megan Miranda,15,2024-04-28
THE WOMEN,by Kristin Hannah,1,2024-05-05
A CALAMITY OF SOULS,by David Baldacci,2,2024-05-05
FOURTH WING,by Rebecca Yarros,3,2024-05-05
THE FAMILIAR,by Leigh Bardugo,4,2024-05-05
IRON FLAME,by Rebecca Yarros,5,2024-05-05
TABLE FOR TWO,by Amor Towles,6,2024-05-05
TOXIC PREY,by John Sandford,7,2024-05-05
JAMES,by Percival Everett,8,2024-05-05
REMARKABLY BRIGHT CREATURES,by Shelby Van Pelt,9,2024-05-05
THE HEAVEN & EARTH GROCERY STORE,by James McBride,10,2024-05-05
THE #1 LAWYER,by James Patterson and Nancy Allen,11,2024-05-05
CLOSE TO DEATH,by Anthony Horowitz,12,2024-05-05
FIRST LIE WINS,by Ashley Elston,13,2024-05-05
HOUSE OF FLAME AND SHADOW,by Sarah J. Maas,14,2024-05-05
A FATE INKED IN BLOOD,by Danielle L. Jensen,15,2024-05-05
FUNNY STORY,by Emily Henry,1,2024-05-12
THE WOMEN,by Kristin Hannah,2,2024-05-12
A CALAMITY OF SOULS,by David Baldacci,3,2024-05-12
THE COVENANT OF WATER,by Abraham Verghese,4,2024-05-12
FOURTH WING,by Rebecca Yarros,5,2024-05-12
IRON FLAME,by Rebecca Yarros,6,2024-05-12
TABLE FOR TWO,by Amor Towles,7,2024-05-12
THE FAMILIAR,by Leigh Bardugo,8,2024-05-12
EXTINCTION,by Douglas Preston,9,2024-05-12
THE PARIS NOVEL,by Ruth Reichl,10,2024-05-12
JAMES,by Percival Everett,11,2024-05-12
REMARKABLY BRIGHT CREATURES,by Shelby Van Pelt,12,2024-05-12
TOXIC PREY,by John Sandford,13,2024-05-12
THE HEAVEN & EARTH GROCERY STORE,by James McBride,14,2024-05-12
LOST BIRDS,by Anne Hillerman,15,2024-05-12
